customer_id;date_diff_post;buy_post
13220760;12;1
30315975;29;1
21679985;29;1
29754274;28;1
7797823;17;1
9904853;25;1
41160419;20;1
2991868;20;1
19659538;12;1
21615224;22;1
27497867;30;1
5955772;22;1
29871260;19;1
29741207;20;1
27847288;32;1
23464407;22;1
9576556;20;1
24650386;18;1
41221137;26;1
21363557;31;1
11990628;24;1
38970087;13;1
19170602;31;1
32818596;14;1
8437184;24;1
37903994;30;1
27266728;29;0
28608247;20;1
12099042;30;1
8693106;14;1
1880985;30;1
13089445;24;1
466082;21;1
6150810;16;1
11480891;24;1
22407092;11;1
1264888;13;1
24678178;24;1
34367359;20;1
32704906;20;1
11613352;20;1
24633208;25;1
23723026;20;1
22410771;29;0
9558022;24;1
28096216;30;1
20826728;11;1
20989427;19;1
13179603;31;0
7540069;29;1
510436;20;1
8803721;14;1
28914459;19;1
484139;32;1
22069710;17;1
818062;14;1
34630401;17;1
12085314;27;1
29364620;28;1
10779160;24;1
2047559;22;1
19312998;30;1
7816110;28;1
10938922;13;1
26149208;23;1
28734260;31;1
26284071;20;1
9687583;23;1
24625879;29;0
10186290;12;1
40591453;28;1
2158339;27;1
35390202;29;1
37615329;24;1
276399;26;1
18628701;30;0
9546941;31;1
39447964;30;1
4752407;12;1
40124051;30;1
27578370;15;1
23473852;16;1
7653802;20;1
18025071;13;1
21587625;30;1
18191387;30;0
18731141;21;1
45902775;29;0
9968176;30;1
44759591;23;1
14870518;28;1
22218444;25;1
22877892;30;1
41271589;27;1
30237269;13;1
3296941;27;1
22191359;20;1
21436114;29;1
8369200;26;1
13191993;23;1
32020557;24;1
10081299;23;1
31782747;30;1
1899216;29;1
18199121;21;1
8217938;20;1
25381058;13;1
11241729;25;1
36972442;23;1
27155443;23;1
18356287;22;1
27260221;28;1
1018052;12;1
21439175;15;1
23861509;29;1
5208623;21;1
11557183;20;1
23464595;31;1
23389199;17;1
12091095;27;1
9936375;16;1
11396124;23;1
6732343;23;1
33796513;30;1
37085803;27;1
12421228;12;1
12446247;27;1
5776186;30;1
21195910;18;1
22352724;11;1
22946810;20;1
12742891;18;1
11786731;26;1
31315517;22;1
26036638;31;0
433348;25;1
6547559;23;1
9574494;12;1
4931867;11;1
29847741;30;1
19284017;23;1
19057145;22;1
30266123;29;1
30883662;27;1
23490236;27;1
8526781;30;0
46085953;31;1
22896921;21;1
41130019;22;1
27633256;29;1
30015459;25;1
8655710;30;0
21333153;17;1
21356384;25;1
29788722;24;1
25847467;15;1
27119097;15;1
33770855;30;1
8185983;21;1
24783815;31;1
22142892;29;1
471363;19;1
23875545;26;1
28412787;30;0
30898763;28;1
22199792;25;1
13930902;24;1
27629397;20;1
28785057;20;1
39597699;17;1
27472067;29;1
14722543;25;1
11630496;29;1
18807606;8;1
37773482;26;1
40151524;25;1
21773345;17;1
23465711;23;1
21232259;30;1
35305059;24;1
38696733;30;1
28113555;18;1
23547105;17;1
36985577;14;1
21338170;24;1
33202490;26;1
336063;16;1
30227344;28;1
18176587;25;1
18802863;16;1
19157872;26;1
7964003;9;1
38282747;9;1
12151274;26;1
19743514;25;0
857441;31;1
41025320;29;1
1764568;31;1
21042196;30;1
13202416;25;1
29357032;30;0
519744;21;1
1506399;21;1
18339118;19;1
29482383;29;1
38461433;8;1
30793683;19;1
739898;16;1
8539030;22;1
24519494;29;0
22738079;11;1
14065074;30;1
21389924;18;1
25144769;28;1
18059426;24;1
32731584;31;1
21560274;22;1
570770;30;0
22369807;29;1
7844601;23;1
35314662;25;1
34036550;18;1
26875733;20;1
363702;30;0
3494288;24;0
29054116;16;1
20739178;29;1
23523209;29;1
199939;18;1
26451493;28;1
27003569;19;1
8116194;30;1
40181024;30;0
24351384;13;1
25857509;19;1
8458437;17;1
5739346;12;1
11225234;30;1
4181099;30;1
18380685;20;1
25184281;25;1
6865912;18;1
4276420;15;1
35043579;30;0
1727934;20;1
1206248;29;1
7112703;26;1
18706092;30;0
26076717;20;1
31033572;24;1
25778415;17;1
37418609;25;1
943752;21;1
37084445;30;1
10025889;27;1
30846766;29;0
33631965;30;0
900734;27;1
3038088;23;0
26965687;30;1
35420701;11;1
528514;26;1
8269510;16;1
27160115;27;1
7959803;25;1
4153951;21;1
30089816;26;1
37184885;27;1
11227230;30;1
6810826;26;1
